Time,data
53.48,3.2308201789855957
53.52,3.2307753562927246
53.57,3.2307043075561523
53.61,3.2306597232818604
53.63,3.2306370735168457
53.64,3.2306132316589355
53.69,3.2305679321289062
53.73,3.2305235862731934
53.77,3.2304768562316895
53.82,3.230433940887451
53.87,3.230363368988037
53.91,3.230318069458008
53.92,3.230297565460205
53.95,3.2302732467651367
53.99,3.230226993560791
54.03,3.230181932449341
54.07,3.2301368713378906
54.12,3.230088710784912
54.16,3.230043649673462
54.21,3.229978561401367
54.25,3.2299318313598633
54.26,3.229909896850586
54.29,3.2298836708068848
54.33,3.2298388481140137
54.37,3.2297921180725098
54.42,3.229745626449585
54.46,3.2297027111053467
54.5,3.22965407371521
54.55,3.229586601257324
54.6,3.229515552520752
54.62,3.2294933795928955
54.67,3.2294487953186035
54.7,3.2294039726257324
54.76,3.2293572425842285
54.8,3.2293126583099365
54.84,3.2292675971984863
54.89,3.2291970252990723
54.93,3.229152202606201
54.94,3.2291314601898193
54.97,3.22910737991333
55.01,3.229060649871826
55.06,3.229015827178955
55.1,3.2289695739746094
55.14,3.2289226055145264
55.19,3.228853702545166
55.23,3.228808879852295
55.25,3.228782892227173
55.26,3.2287604808807373
55.31,3.228715419769287
55.35,3.228668689727783
55.4,3.2286224365234375
55.44,3.2285757064819336
55.48,3.228508472442627
55.53,3.228461742401123
55.54,3.2284393310546875
55.57,3.228416919708252
55.61,3.2283928394317627
55.65,3.2283236980438232
55.69,3.2282791137695312
55.7,3.2282567024230957
55.72,3.22823429107666
55.77,3.228210210800171
55.81,3.2281410694122314
55.85,3.2280943393707275
55.86,3.228070020675659
55.88,3.2280478477478027
55.93,3.2280030250549316
55.97,3.2279582023620605
56.02,3.2279112339019775
56.06,3.2278647422790527
56.1,3.2277939319610596
56.15,3.2277488708496094
56.16,3.227726697921753
56.19,3.2277040481567383
56.23,3.2276577949523926
56.27,3.2276110649108887
56.32,3.2275662422180176
56.36,3.227517604827881
56.41,3.2274506092071533
56.45,3.2274060249328613
56.46,3.227381706237793
56.49,3.2273592948913574
56.52,3.2273130416870117
56.57,3.2272682189941406
56.61,3.227219581604004
56.65,3.227174758911133
56.7,3.2271296977996826
56.74,3.227081298828125
56.79,3.2270145416259766
56.83,3.2269656658172607
56.84,3.2269434928894043
56.87,3.226918935775757
56.91,3.226874351501465
56.96,3.226827621459961
57.01,3.287262439727783
57.05,3.3840560913085938
57.07,3.4496893882751465
57.08,3.5267319679260254
57.12,3.6151745319366455
57.17,3.9375126361846924
57.2,4.171645164489746
57.23,4.290835380554199
57.25,4.41074275970459
57.29,4.651583671569824
57.33,4.892934322357178
57.38,5.132149696350098
57.42,5.361606121063232
57.47,5.689381122589111
57.51,5.898120880126953
57.52,5.997769832611084
57.54,6.089235782623291
57.59,6.243532180786133
57.63,6.348398208618164
57.67,6.408620834350586
57.72,6.42146635055542
57.76,6.3920745849609375
57.81,6.263126850128174
57.85,6.145469665527344
57.86,6.07961368560791
57.88,6.011163234710693
57.93,5.870996952056885
57.97,5.7262492179870605
58.02,5.573493003845215
58.06,5.420724391937256
58.1,5.277169227600098
58.15,5.083474159240723
58.19,4.9601640701293945
58.21,4.898969650268555
58.22,4.837788105010986
58.27,4.7135396003723145
58.31,4.604501247406006
58.36,4.5366363525390625
58.4,4.503763198852539
58.45,4.515751838684082
58.49,4.561027526855469
58.51,4.5960187911987305
58.53,4.63773775100708
58.57,4.737369537353516
58.61,4.83759880065918
58.66,4.9164323806762695
58.7,4.9709343910217285
58.75,4.996016025543213
58.79,4.976820945739746
58.8,4.957912445068359
58.82,4.933594703674316
58.87,4.872565269470215
58.91,4.804656982421875
58.96,4.742337226867676
59.0,4.6957902908325195
59.05,4.667106628417969
59.09,4.6847028732299805
59.11,4.705460548400879
59.12,4.732752799987793
59.17,4.80642032623291
59.22,4.894522666931152
59.26,4.993265628814697
59.31,5.150890827178955
59.35,5.258502960205078
59.36,5.312558174133301
59.39,5.366697311401367
59.43,5.47428035736084
59.47,5.580276012420654
59.52,5.685245037078857
59.56,5.789617538452148
59.6,5.893679618835449
59.65,6.044186592102051
59.69,6.141300678253174
59.7,6.189342975616455
59.72,6.2371978759765625
59.77,6.332534313201904
59.81,6.4276227951049805
59.86,6.523472785949707
59.9,6.619998931884766
59.94,6.7169036865234375
59.99,6.862573146820068
60.03,6.96025276184082
60.05,7.009332656860352
60.06,7.058536052703857
60.11,7.157197952270508
60.15,7.255963325500488
60.19,7.354833602905273
60.24,7.44992733001709
60.28,7.533597469329834
60.33,7.604159355163574
60.37,7.599749565124512
60.39,7.580296516418457
60.4,7.549534320831299
60.45,7.4539570808410645
60.49,7.313388347625732
60.54,7.131817817687988
60.58,6.924380302429199
60.63,6.583845615386963
60.67,6.340710163116455
60.68,6.217247486114502
60.71,6.092655658721924
60.75,5.840571880340576
60.8,5.586775302886963
60.84,5.331451892852783
60.88,5.073999404907227
60.93,4.697920322418213
60.97,4.470920562744141
60.99,4.36876106262207
61.01,4.274721145629883
61.05,4.114003658294678
61.09,4.000412464141846
61.13,4.009875297546387
61.18,4.05906867980957
61.22,4.0590972900390625
61.27,4.053339004516602
61.31,4.13931941986084
61.32,4.184622287750244
61.35,4.230627536773682
61.39,4.321873664855957
61.43,4.416194438934326
61.47,4.4652299880981445
61.48,4.5151047706604
61.52,4.616848945617676
61.56,4.720037460327148
61.61,4.874411582946777
61.65,4.9699859619140625
61.67,5.012876033782959
61.68,5.051619529724121
61.73,5.11805534362793
61.77,5.163198471069336
61.82,5.192657947540283
61.86,5.218020439147949
61.9,5.2549285888671875
61.95,5.340283393859863
61.99,5.420514106750488
62.0,5.464916706085205
62.02,5.509883880615234
62.07,5.603427886962891
