Time,data
120.79,0
120.84,3
120.89,0
120.94,3
120.99,0
121.04,3
121.09,0
121.14,3
121.19,0
121.24,1
121.29,0
121.34,0
121.39,0
121.44,0
121.49,0
121.54,0
121.59,0
121.64,0
121.69,0
121.74,0
121.79,0
121.84,0
121.89,0
121.94,0
121.99,0
122.04,1
122.09,3
122.14,3
122.19,3
122.24,3
122.29,3
122.34,3
122.39,3
122.44,3
122.49,3
122.54,3
122.59,3
122.64,3
122.69,3
122.74,3
122.79,3
122.84,3
122.89,3
122.94,3
122.99,3
123.04,3
123.09,3
123.14,3
123.19,3
123.24,3
123.29,3
123.34,3
123.39,3
123.44,3
123.49,3
123.54,3
123.59,3
123.64,3
123.69,3
123.74,3
123.79,3
123.84,3
123.89,3
123.94,3
123.99,3
124.04,3
124.09,3
124.14,3
124.19,3
124.24,3
124.29,3
124.34,3
124.39,3
124.44,3
124.49,3
124.54,3
124.59,3
124.64,3
124.69,3
124.74,3
124.79,3
124.84,3
124.89,3
124.94,3
124.99,3
125.04,3
125.09,3
125.14,3
125.19,3
125.24,3
125.29,3
125.34,3
125.39,3
125.44,3
125.49,3
125.54,3
125.59,3
125.64,3
125.69,3
125.74,3
125.79,3
125.84,3
125.89,3
125.94,3
125.99,3
126.04,3
126.09,3
126.14,3
126.19,3
126.24,3
126.29,3
126.34,3
126.39,3
126.44,3
