Time,data
201.37,15.351469993591309
201.41,15.35141658782959
201.45,15.351384162902832
201.46,15.35135269165039
201.5,15.351286888122559
201.55,15.351189613342285
201.59,15.351125717163086
201.61,15.351092338562012
201.62,15.351058006286621
201.67,15.350995063781738
201.71,15.35092544555664
201.75,15.350863456726074
201.8,15.350797653198242
201.84,15.350732803344727
201.89,15.350631713867188
201.93,15.350564956665039
201.95,15.350534439086914
201.97,15.350502014160156
202.01,15.35043716430664
202.05,15.350373268127441
202.1,15.35030460357666
202.14,15.350239753723145
202.19,15.350141525268555
202.23,15.350081443786621
202.25,15.350046157836914
202.27,15.35001277923584
202.31,15.349947929382324
202.35,15.34988021850586
202.4,15.349810600280762
202.44,15.349749565124512
202.49,15.349679946899414
202.53,15.34958267211914
202.56,15.349514961242676
202.59,15.349478721618652
202.6,15.34945011138916
202.65,15.349383354187012
202.69,15.349315643310547
202.74,15.349252700805664
202.78,15.349185943603516
202.83,15.349090576171875
202.87,15.349021911621094
202.88,15.34898853302002
202.91,15.348956108093262
202.95,15.34889030456543
202.99,15.348824501037598
203.04,15.348760604858398
203.09,15.34865951538086
203.13,15.348594665527344
203.14,15.34856128692627
203.16,15.348530769348145
203.21,15.34846019744873
203.24,15.348398208618164
203.29,15.348328590393066
203.34,15.348260879516602
203.38,15.348198890686035
203.43,15.348095893859863
203.47,15.348030090332031
203.49,15.347997665405273
203.51,15.347965240478516
203.55,15.347901344299316
203.59,15.347834587097168
203.64,15.347769737243652
203.68,15.347705841064453
203.73,15.347643852233887
203.77,15.347549438476562
203.82,15.347482681274414
203.83,15.347454071044922
203.85,15.347429275512695
203.89,15.347371101379395
203.94,15.34731388092041
203.98,15.347249984741211
204.03,15.34718132019043
204.07,15.347090721130371
204.12,15.347013473510742
204.15,15.34698486328125
204.19,15.346960067749023
204.23,15.3468599319458
204.27,15.346800804138184
204.29,15.346776008605957
204.31,15.346749305725098
204.35,15.346696853637695
204.39,15.346630096435547
204.43,15.346566200256348
204.48,15.346505165100098
204.51,15.346450805664062
204.57,15.346355438232422
204.61,15.34628963470459
204.62,15.346261024475098
204.64,15.346234321594238
204.69,15.346211433410645
204.73,15.346125602722168
204.77,15.346059799194336
204.79,15.346025466918945
204.81,15.345993995666504
204.85,15.345937728881836
204.89,15.345880508422852
204.93,15.345818519592285
204.97,15.345754623413086
205.02,15.34569263458252
205.07,15.345614433288574
205.11,15.345553398132324
205.13,15.345525741577148
205.15,15.345492362976074
205.19,15.345430374145508
205.23,15.345375061035156
205.28,15.345322608947754
205.31,15.345264434814453
205.36,15.345166206359863
205.41,15.345108032226562
205.42,15.345081329345703
205.45,15.34505558013916
205.49,15.345002174377441
205.54,15.344943046569824
205.57,15.344879150390625
205.62,15.344818115234375
205.67,15.34473991394043
205.71,15.34467887878418
205.72,15.344650268554688
205.75,15.344615936279297
205.79,15.344552040100098
205.83,15.344498634338379
205.87,15.344449996948242
205.91,15.344390869140625
205.96,15.344325065612793
206.01,15.344231605529785
206.05,15.344182968139648
206.07,15.344157218933105
206.08,15.34412956237793
206.13,15.344067573547363
206.17,15.344001770019531
206.21,15.343939781188965
206.26,15.343890190124512
206.3,15.343805313110352
206.35,15.343735694885254
206.36,15.343706130981445
206.39,15.343676567077637
206.43,15.3436279296875
206.47,15.343568801879883
206.52,15.34350299835205
206.56,15.3434419631958
206.6,15.343390464782715
206.65,15.343307495117188
206.69,15.343241691589355
206.7,15.34321117401123
206.72,15.343180656433105
206.77,15.343123435974121
206.82,15.343074798583984
206.86,15.343009948730469
206.9,15.342940330505371
206.95,15.342856407165527
206.99,15.34279727935791
207.01,15.342765808105469
207.03,15.342733383178711
207.07,15.342669486999512
207.11,15.342615127563477
207.16,15.342569351196289
207.2,15.342514991760254
207.24,15.342452049255371
207.29,15.342358589172363
207.33,15.342304229736328
207.35,15.342283248901367
207.36,15.342256546020508
207.41,15.34219741821289
207.45,15.342132568359375
207.5,15.342070579528809
207.54,15.34201717376709
